isoform_id	gene	transcript_id	biotype	GABA_pct	GABA_mean	other_pct	other_mean	logFC	n_GABA_detected	n_other_detected
Hepacam-201	Hepacam	ENSMUST00000051839	protein_coding	0.297619047619048	0.0206006914417251	21.7761629638454	1.54911467143363	-6.23253827246516	3	3656
Acsbg1-201	Acsbg1	ENSMUST00000034822	protein_coding	0.198412698412698	0.0153217301028121	12.5201024480315	0.914780149944519	-5.899681362615	2	2102
Sox9-201	Sox9	ENSMUST00000000579	protein_coding	0.396825396825397	0.0262424345328834	20.1322294359402	1.51491448836466	-5.85113696218518	4	3380
Gstm1-204	Gstm1	ENSMUST00000198532	processed_transcript	0.198412698412698	0.0132830777566829	10.179284055036	0.735573229859585	-5.79110095946765	2	1709
Mgst1-207	Mgst1	ENSMUST00000140932	protein_coding	0.396825396825397	0.0275226520585888	17.7794984811484	1.34695942621518	-5.61289174364991	4	2985
S1pr1-201	S1pr1	ENSMUST00000055676	protein_coding	0.396825396825397	0.0313702832893844	20.2632676157008	1.53351236512347	-5.6112523840508	4	3402
Slc1a3-201	Slc1a3	ENSMUST00000005493	protein_coding	0.496031746031746	0.0355245285242535	22.0561081660611	1.702262092506	-5.58245410606675	5	3703
Dbx2-201	Dbx2	ENSMUST00000054244	protein_coding	0.396825396825397	0.0283307454690633	16.0700458633629	1.19336165055539	-5.39646923316376	4	2698
Abhd4-201	Abhd4	ENSMUST00000041197	protein_coding	0.396825396825397	0.0281750798138275	14.3963309309667	1.00591757986449	-5.15789882536869	4	2417
Gpr37-201	Gpr37	ENSMUST00000054867	protein_coding	0.595238095238095	0.042260939708805	18.17261302043	1.31344071328776	-4.95784938447343	6	3051
Gjc3-202	Gjc3	ENSMUST00000199083	retained_intron	0.396825396825397	0.0284624071780885	11.8649115492287	0.837042770462994	-4.87812279236392	4	1992
Gpr37l1-201	Gpr37l1	ENSMUST00000027682	protein_coding	1.09126984126984	0.0819484584935605	29.1381261540294	2.35195138436015	-4.84298062635866	11	4892
Nfe2l2-201	Nfe2l2	ENSMUST00000102672	protein_coding	0.793650793650794	0.0538023365457122	20.9780213234856	1.53397917652618	-4.83344038647075	8	3522
Tril-201	Tril	ENSMUST00000127748	protein_coding	0.396825396825397	0.0277713796313404	10.7272618976711	0.784567052149664	-4.82017588707696	4	1801
Gfap-202	Gfap	ENSMUST00000077902	protein_coding	0.396825396825397	0.0312641142453558	11.817261302043	0.867534001973417	-4.79429627241456	4	1984
Rhoc-201	Rhoc	ENSMUST00000002303	protein_coding	0.595238095238095	0.040165210861541	15.3850735600691	1.10867224400272	-4.78670804761609	6	2583
